SEASON,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF
2001,7774,2926,6609,0.443,397,1124,0.354,1524,2039,0.748,983,2499,3482,1786,641,431,1181,1833
2002,7829,2966,6664,0.445,428,1209,0.354,1470,1953,0.752,1003,2474,3477,1798,639,428,1133,1741
2003,7797,2929,6624,0.442,421,1204,0.349,1518,2004,0.758,988,2481,3469,1763,651,411,1170,1784
2004,7659,2871,6545,0.439,425,1224,0.347,1492,1985,0.752,991,2469,3461,1747,650,415,1168,1759
2005,7970,2948,6588,0.447,459,1292,0.356,1615,2137,0.756,985,2448,3432,1745,616,399,1136,1856
2006,7952,2938,6475,0.454,469,1310,0.358,1607,2156,0.745,916,2441,3357,1690,587,385,1129,1866
2007,8093,2994,6533,0.458,497,1389,0.358,1608,2137,0.752,912,2453,3365,1745,593,377,1190,1822
2008,8190,3054,6681,0.457,537,1484,0.362,1544,2045,0.755,918,2523,3441,1783,596,388,1109,1723
2009,8192,3042,6632,0.459,545,1485,0.367,1563,2028,0.771,905,2480,3385,1720,596,394,1101,1725
2010,8234,3090,6697,0.461,527,1487,0.355,1527,2012,0.759,898,2521,3420,1741,592,398,1112,1710
2011,8160,3053,6657,0.459,529,1476,0.359,1524,1997,0.763,894,2498,3392,1762,601,399,1114,1698
2012,7893,2991,6677,0.448,526,1507,0.349,1386,1842,0.752,932,2526,3459,1720,629,418,1144,1605
2013,8047,3045,6726,0.453,587,1637,0.359,1370,1819,0.753,916,2539,3456,1815,640,421,1144,1627
2014,8279,3091,6802,0.454,635,1765,0.36,1462,1934,0.756,895,2609,3504,1804,630,386,1152,1697
2015,8198,3075,6850,0.449,643,1838,0.35,1405,1873,0.75,893,2656,3549,1806,634,393,1124,1657
2016,8416,3134,6933,0.452,698,1974,0.354,1449,1915,0.757,854,2733,3587,1827,643,406,1131,1661
2017,8655,3201,7001,0.457,791,2213,0.358,1462,1895,0.772,831,2736,3567,1855,631,389,1096,1631
2018,8716,3247,7054,0.46,860,2377,0.362,1363,1777,0.767,796,2771,3567,1905,632,395,1121,1627
2019,9116,3367,7312,0.461,932,2624,0.355,1449,1891,0.766,848,2854,3702,2015,626,406,1109,1714
2020,9140,3348,7282,0.46,995,2783,0.358,1448,1878,0.771,829,2849,3678,1997,628,406,1138,1688
